valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release date,speechiness,tempo
0.57,2020,0.176,['Juice WRLD'],0.747,181661,0.622,True,4K06PO78fW4mnBVenxGNob,0,11,0.151,-5.825,1,Conversations,77,2020-07-10,0.0838,159.93
0.564,2020,0.135,"['Lil Baby', '42 Dugg']",0.926,181929,0.542,True,6gxKUmycQX7uyMwJcweFjp,0,1,0.0877,-5.064,1,We Paid (feat. 42 Dugg),76,2020-05-01,0.293,135.14
0.533,2020,0.297,['Halsey'],0.752,201661,0.488,True,6FZDfxM3a3UCqtzo5pxSLZ,9.11e-06,6,0.0936,-7.05,1,Without Me,83,2020-01-17,0.0705,136.041
0.399,2020,0.0153,"['THE ANXIETY', 'WILLOW', 'Tyler Cole']",0.773,162680,0.47,True,07MDkzWARZaLEdKxo6yArG,0.000193,2,0.0851,-7.93,1,Meet Me At Our Spot,79,2020-03-13,0.0299,94.995
0.5,2020,0.201,['Drake'],0.864,192932,0.477,True,5H4mXWKcicuLKDn4Jy0sK7,0,10,0.182,-5.786,1,Time Flies,78,2020-05-01,0.224,86.46
0.914,2020,0.0561,['Dua Lipa'],0.695,203808,0.884,False,39LLxExYz6ewLAcYrzQQyP,0,6,0.213,-2.278,0,Levitating,84,2020-03-27,0.0753,103.014
0.493,2020,0.00162,['Conan Gray'],0.628,185773,0.639,False,6KfoDhO4XUWSbnyKjNp9c4,0,8,0.354,-5.46,1,Maniac,80,2020-03-20,0.0435,108.045
0.633,2020,0.199,['Lil Tecca'],0.895,98413,0.439,True,2WxUIiq06XXPYWl9YcRJnD,0,5,0.0683,-12.142,0,Our Time,78,2020-09-18,0.319,109.988
0.586,2020,0.0326,"['Bad Bunny', 'Daddy Yankee']",0.744,206420,0.868,True,69vlMrzHwATKzupwNcUPyK,0,1,0.0822,-4.524,1,La Santa,83,2020-02-29,0.047,93.037
0.46,2020,0.881,['Taylor Swift'],0.559,190898,0.31,False,2NmsngXHeC1GQ9wWrzhOMf,0,10,0.106,-10.445,1,illicit affairs,78,2020-07-24,0.0338,119.845
0.152,2020,0.778,"['Taylor Swift', 'Bon Iver']",0.298,285634,0.38,False,4pvb0WLRcMtbPGmtejJJ6y,5.62e-05,6,0.11,-8.426,1,exile (feat. Bon Iver),80,2020-07-24,0.0287,75.602
0.379,2020,0.687,['Taylor Swift'],0.553,208978,0.413,False,0ZNU020wNYvgW84iljPkPP,2.33e-06,2,0.0594,-10.037,1,mirrorball,78,2020-07-24,0.0334,110.107
0.775,2020,0.0872,['Jack Harlow'],0.792,156578,0.793,True,3w1WjD2zJqjBjDz5fwqQPJ,0,5,0.22,-6.185,0,Tyler Herro,78,2020-12-11,0.0841,123.031
0.953,2020,0.0288,['Bee Gees'],0.702,285373,0.773,False,5ubvP9oKmxLUVq506fgLhk,0.00871,10,0.147,-9.256,0,Stayin Alive,81,2020-12-11,0.0343,103.564
0.151,2020,0.019,['XXXTENTACION'],0.509,78681,0.542,True,4aOOExMBUyxKnEYb39SrTg,0.00639,3,0.23,-8.027,0,Riot,77,2020-06-01,0.442,97.767
0.826,2020,0.017,['Jack Harlow'],0.923,139741,0.604,True,1jaTQ3nqY3oAAYyCTbIvnM,0,11,0.272,-6.671,0,WHATS POPPIN,77,2020-03-13,0.245,145.062
0.377,2020,0.0951,['Gabby Barrett'],0.466,210773,0.536,False,23T0OX7QOiIUFShSzbJ5Uo,0,6,0.114,-6.227,1,I Hope,75,2020-06-19,0.0429,75.998
0.438,2020,0.759,['Giveon'],0.678,260776,0.355,False,6qBFSepqLCuh5tehehc1bd,7.06e-05,10,0.114,-7.757,0,Like I Want You,77,2020-03-27,0.0627,119.772
0.625,2020,0.39,['Zach Bryan'],0.515,209089,0.457,False,1HMFdKHDiHY0qmqdVH710d,0,2,0.255,-4.786,1,Let You Down,73,2020-11-27,0.0277,83.627
0.704,2020,0.231,"['21 Savage', 'Metro Boomin', 'Drake']",0.647,193839,0.667,True,4Q34FP1AT7GEl9oLgNtiWj,0,5,0.133,-5.563,1,Mr. Right Now (feat. Drake),75,2020-10-02,0.304,172.08
0.575,2020,0.127,['Doja Cat'],0.707,134240,0.955,False,78qd8dvwea0Gosb6Fe6j3k,0,10,0.202,-4.593,0,Boss Bitch,81,2020-01-23,0.222,125.989
0.497,2020,0.247,"['DaBaby', 'Roddy Ricch']",0.746,181733,0.69,True,7ytR5pFWmSjzHJIeQkgog4,0,11,0.101,-7.956,1,ROCKSTAR (feat. Roddy Ricch),79,2020-04-17,0.164,89.977
0.65,2020,0.827,['Thundercat'],0.586,116630,0.893,False,1c5CllrZr45UBhWpIqM332,0.642,7,0.212,-8.772,1,Funny Thing,76,2020-04-03,0.439,140.023
0.65,2020,0.441,['Sam Hunt'],0.736,162547,0.458,False,7FpBQ067pHB67deawpbbcY,0,5,0.148,-7.437,1,Body Like A Back Road,74,2020-04-03,0.0316,98.977
0.761,2020,0.0849,['NLE Choppa'],0.787,148759,0.713,True,44sYqNBttbXNxya33FJ3Dj,0,7,0.717,-5.252,1,Camelot,74,2020-08-10,0.401,175.046
0.645,2020,0.0277,"['Polo G', 'Stunna 4 Vegas', 'NLE Choppa', 'Mike WiLL Made-It']",0.92,165726,0.833,True,4PklAHGXT5ityno3IA8SKd,0,1,0.0596,-3.18,1,Go Stupid,74,2020-05-15,0.253,141.034
0.745,2020,0.002,['Key Glock'],0.804,146880,0.946,True,1ipSpQfzBbhPFhYm6tfVIz,0,7,0.359,-5.949,1,Mr. Glock,73,2020-01-31,0.352,150.141
0.761,2020,0.148,['Bryson Tiller'],0.633,193702,0.793,False,5TXQCMKN6TgemTL3c4wRTn,0,5,0.867,-6.847,0,Sorrows,76,2020-10-02,0.182,109.093
0.645,2020,0.268,"['NLE Choppa', 'Roddy Ricch']",0.867,173288,0.744,True,1Z0cZI0UzNbP9L8MzzGxqf,0,2,0.0713,-5.171,1,Walk Em Down (feat. Roddy Ricch),75,2020-08-10,0.227,84.005
0.593,2020,0.0215,"['The Weeknd', 'Ariana Grande']",0.65,191014,0.825,False,1oFAF1hdPOickyHgbuRjyX,2.44e-05,0,0.0936,-4.645,1,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,84,2020-03-20,0.0325,118.091
0.35,2020,0.0538,"['Polo G', 'Juice WRLD']",0.752,163902,0.673,True,2QqJTIlGKRLJC3onkavYEz,0,10,0.133,-5.792,0,Flex (feat. Juice WRLD),74,2020-05-15,0.153,164.009
